央视,#genre#
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
欢笑剧场4K,http://159.75.85.63:5681/sxg.php?id=hxjc-4k_8000
欢笑剧场,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8

娱乐,#genre#

清华大学电视台,http://live.cic.tsinghua.edu.cn/hls/tsinghuatv.m3u8
万合天宜,http://qytv.win86.top/tv/dytv.php?id=9220456
舔狗波比的幸福生活,http://15.4.8.199:35455/douyu/7620081
开心锤锤，,http://15.4.8.199:35455/douyu/9018297
开心锤锤,http://maomao.kandiantv.cn/douyu1.php?id=9018297
科幻影视解说,http://maomao.kandiantv.cn/douyu1.php?id=3508304
【牛叔】N分钟带你看完大片,http://15.4.8.199:35455/douyu/2758565
【牛叔】N分钟带你看完大片,http://maomao.kandiantv.cn/douyu1.php?id=2758565
【科幻Fans】精彩科幻影视，解说连连看,http://15.4.8.199:35455/douyu/3508304
荒野建造者,http://maomao.kandiantv.cn/douyu1.php?id=9611578
科比、乔丹去,http://maomao.kandiantv.cn/douyu1.php?id=8434598

游戏,#genre#

游戏风云,http://15.4.8.199:5678/gehua.php?id=yxfy
游戏风云,https://live.v1.mk/api/ghyx.php?id=YouXiFengYunHD_6000
游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
游戏风云,https://live.v1.mk/api/bestv.php?id=yxfy8m/8000000
亲子小游戏,http://118.26.120.23:55336/tslive/c56_lb_178_600_t10/c56_lb_178_600_t10.m3u8?key=0b292c335e5837e94ffc1113a2140b54

动漫,#genre#

斗罗斗破,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=28796627
斗罗斗破,http://106.53.212.251/daili/yy.php?id=1353098382
那些年动画,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351417866
猫和老鼠,http://15.4.8.199:35455/douyu/7888428
猫和老鼠,http://118.26.120.23:55336/tslive/c52_lb_83_600_t10/c52_lb_83_600_t10.m3u8?key=0b292c335e5837e94e2f0ba45f46717fa
猫和老鼠,http://118.26.120.23:55336/tslive/c57_lb_211_600_t10/c57_lb_211_600_t10.m3u8?key=0f2a06793124310bce6ba95fc0ac76131
猫和老鼠,http://lvbaiducdncmn.inter.iqiyi.com/tslive/c52_lb_83_600_t10/c52_lb_83_600_t10.m3u8?key=0b292c335e5837e94e2f0ba45f46717fa
蜡笔小新,http://zzy789.xyz/bili.php?id=10375360
蜡笔小新,http://zzy789.xyz/bili.php?id=22693306
蜡笔小新,http://zzy789.xyz/bili.php?id=21570935
名贞探柯南,http://118.26.120.23:55336/tslive/c54_lb_157_600_t10/c54_lb_157_600_t10.m3u8?key=0b292c335e5837e948e91dd5d11efa525
名侦探柯南,http://15.4.8.199:35455/douyu/6484910
名侦探柯南,http://15.4.8.199:35455/douyu/5377297
名侦探柯南,http://15.4.8.199:35455/douyu/7050342
哆啦A梦,http://zzy789.xyz/bili.php?id=1717236
倒霉熊,http://lvbaiducdncmn.inter.iqiyi.com/tslive/c54_lb_140_600_t10/c54_lb_140_600_t10.m3u8?key=0f2a06793124310bccc587b5da61b57da
倒霉熊,http://118.26.120.37:55336/tslive/c54_lb_140_600_t10/c54_lb_140_600_t10.m3u8?key=0f2a06793124310bccc587b5da61b57da
怀旧动画,http://118.26.120.36:55336/tslive/c53_lb_86_600_t10/c53_lb_86_600_t10.m3u8?key=0b292c335e5837e943a226d3c381f872a
